Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents),Latitude,Longitude
ALWAYS HERE HOSPICE AND PALLIATIVE CARE LLC,11104 W AIRPORT BLVD STE 135,STAFFORD,TX,77477,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.624261,-95.568033
ALWAYS PRESENT HOSPICE,"1400 NORTH GILBERT ROAD, SUITE P",GILBERT,AZ,85234,92.1,4.8,0.8,0.0,1.6,66.8,9.0,56.9,72.6,97.7,91.7,93.0,82.3,97.7,64.5,12.6,96.2,"23,454",6.9,94.6,33.361667,-111.741003
"ALWAYS TFY HOSPICE, INC","9064 PULSAR COURT, SUITE E",CORONA,CA,92883,Not Available,0.0,0.0,0.0,0.0,78.8,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,72.7,10.0,Not Available,"20,401",10.2,100,33.748086,-117.468037
AM HOSPICE INC,2004 MONTANA AVE,EL PASO,TX,79903,100.0,17.5,0.0,0.0,7.5,64.5,8.0,42.3,93.9,100.0,Not Available,93.1,100.0,100.0,32.5,9.4,Not Available,"12,127",7.3,83.9,31.786182,-106.441937
AM-PM HOSPICE SERVICES,1155 N CENTRAL AVE SUITE 104,GLENDALE,CA,91202,100.0,0.0,0.0,0.1,0.0,51.1,10.0,Not Available,82.1,100.0,100.0,82.1,100.0,100.0,31.4,11.7,Not Available,"22,236",10.3,100,34.168366,-118.267771
"AMA HOSPICE AND PALLIATIVE CARE, INC","6314 VAN NUYS BLVD, SUITE 222",VAN NUYS,CA,91401,Not Available,4.1,2.0,0.0,0.0,53.6,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95.9,8.8,Not Available,"14,014",20.9,100,34.178483,-118.431791
AMA HOSPICE CARE INC,"350 10TH AVENUE, SUITE 1020",SAN DIEGO,CA,92101,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.724103,-117.170912
"AMA HOSPICE, INC.",24509 WALNUT ST,SANTA CLARITA,CA,91321,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.36811,-118.489038
AMABLE HOME CARE LLC,615 NORTH MAIN STREET,LA FERIA,TX,78559,Not Available,2.6,0.0,0.0,0.0,38.9,9.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48.7,8.6,Not Available,"18,700",15.4,100,26.148831,-97.831112
"AMADEO HOSPICE, INC","4150 WEST PEORIA AVENUE, SUITE B116-D",PHOENIX,AZ,85029,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.594738,-112.109861
AMADO HOSPICE & HOME HEALTH,5991 E. HWY 83,RIO GRANDE CITY,TX,78582,Not Available,0.0,20.0,0.0,0.0,12.5,7.0,11.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40.0,17.7,Not Available,"12,962",4.4,100,26.530903,-98.740235
"AMALFI HOSPICE CARE, INC",435 ORANGE SHOW LANE SUITE 201-202,SAN BERNARDINO,CA,92408,100.0,6.3,6.3,0.0,0.0,90.3,6.0,21.7,91.2,100.0,95.2,Not Available,100.0,100.0,81.3,11.8,Not Available,"21,432",8.2,100,34.083458,-117.270016
AMANDI HOSPICE LLC,"15022 FM 529 RD, BLDG 2, SUITE D",HOUSTON,TX,77095,Not Available,0.0,0.0,1.1,0.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,53.8,0.0,Not Available,"22,782",Not Available,0.0,29.909513,-95.651476
AMARA HOSPICE,505 WEST OWASSA ROAD,EDINBURG,TX,78539,88.1,4.9,0.0,2.3,14.6,36.6,9.0,46.2,81.7,99.1,91.7,97.9,100.0,92.7,34.1,9.1,Not Available,"15,062",9.4,92.7,26.280689,-98.183295
"AMARA HOSPICE, LLC","3085 BAY RD, SUITE 3",SAGINAW,MI,48603,97.9,23.8,1.2,0.0,13.1,79.3,9.0,38.6,89.5,96.7,98.5,94.9,97.9,99.6,35.7,9.4,95.0,"19,917",5.2,78.9,43.458786,-84.029471
AMARE HOSPICE ,"21151 SOUTH WESTERN AVE, SUITE 162",TORRANCE,CA,90501,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.833744,-118.314022
AMARE' VISTA HOSPICE,"3655 TORRANCE BLVD, SUITE 322",TORRANCE,CA,90503,100.0,6.3,0.0,0.1,0.0,91.1,7.0,Not Available,97.6,100.0,100.0,95.8,100.0,100.0,43.8,6.9,Not Available,"22,191",16.9,50.0,33.840398,-118.353715
AMARI HOSPICE CARE INC,"6720 FAIR OAKS BLVD, SUITE 100",CARMICHAEL,CA,95608,100.0,16.7,50.0,0.0,0.0,50.0,9.0,43.1,94.3,100.0,100.0,90.9,98.6,100.0,0.0,18.8,Not Available,"15,892",6.8,86.2,38.62415,-121.324911
"AMARY COMFORT CARE, INC.",10518 KIPP WAY DRIVE SUITE A-1,HOUSTON,TX,77099,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.670869,-95.58599
AMATUS HOSPICE AND PALLIATIVE CARE LLC,2010 VALLEY VIEW LANE STE 210,FARMERS BRANCH,TX,75234,99.1,11.8,2.9,0.3,0.0,56.8,10.0,46.8,88.5,99.1,94.9,94.3,98.2,100.0,50.0,10.8,92.5,"20,301",6.7,86.2,32.923189,-96.891721
"AMAVI HOME HEALTH AND HOSPICE CARE SERVICES, INC","131 SAND CREEK ROAD, UNIT K",BRENTWOOD,CA,94513,100.0,0.0,2.4,0.0,7.3,5.8,9.0,12.7,86.5,100.0,97.8,71.4,100.0,100.0,34.1,18.1,Not Available,"15,858",8.9,98.9,37.922228,-121.668359
"AMAVI HOSPICE AND PALLIATIVE CARE, LLC",5009 N. MCCOLL RD,MCALLEN,TX,78504,100.0,6.3,0.0,0.0,9.4,35.3,9.0,39.1,97.4,100.0,100.0,100.0,100.0,100.0,18.8,10.9,Not Available,"15,386",8.4,96.2,26.271965,-98.23657
AMAZING ANGELS HOSPICE,1140 W CARDINAL DR. SUITE B,BEAUMONT,TX,77705,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.898029,-94.161175
"AMAZING GRACE HOSPICE CARE, LLC","168 N JOHNSTON STREET, SUITE 104",DALLAS,GA,30132,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.988832,-84.858967
"AMAZING GRACE HOSPICE, INC","9892  I  AVENUE, SUITE 5",HESPERIA,CA,92345,100.0,9.3,0.0,0.0,5.6,5.1,8.0,6.1,99.0,100.0,100.0,100.0,99.0,100.0,51.9,14.5,100.0,"20,231",3.5,87.1,34.376159,-117.294397
"AMAZING HANDS HOSPICE, LLC",2944 MOTLEY DR STE 201,MESQUITE,TX,75150,Not Available,0.0,0.0,0.0,4.8,52.5,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,38.1,9.0,Not Available,"14,612",15.1,33.3,32.817399,-96.630416
"AMAZING HOSPICE CARE, INC","2575 MCLEOD DR NORTH, SUITE B",SAGINAW,MI,48604,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43.499764,-83.969084
AMAZINGLY GRACE HOSPICE INC,7322 SOUTHWEST FWY SUITE 645 ROOM G     ,HOUSTON,TX,77074,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.687947,-95.515725
"AMBASSADORE HOSPICE CARE, INC.","1597 E. WINDMILL LANE, STE 400",LAS VEGAS,NV,89123,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.035206,-115.148789
"AMBASSADORE HOSPICE CARE, INC.",17100 PIONEER BLVD SUITE 270A,ARTESIA,CA,90701,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.8676,-118.080612
AMBER HOSPICE CARE,"29792 TELEGRAPH RD, SUITE 120",SOUTHFIELD,MI,48034,94.6,16.7,0.0,0.0,0.0,72.2,9.0,30.4,68.9,100.0,100.0,60.0,98.6,98.6,50.0,11.1,Not Available,"17,164",7.2,86.2,42.496949,-83.291078
AMBERCARE HOSPICE INC,2129 OSUNA ROAD NE,ALBUQUERQUE,NM,87113,99.9,5.8,3.3,0.0,7.1,55.2,10.0,64.1,99.7,100.0,100.0,99.7,100.0,100.0,40.7,10.6,100.0,"15,586",6.7,91.6,35.180966,-106.593627
"AMBERCITY HOSPICE, INC","3590 CENTRAL AVENUE, SUITE #207",RIVERSIDE,CA,92506,100.0,4.8,1.6,0.0,1.6,74.7,9.0,24.0,98.0,100.0,Not Available,Not Available,100.0,100.0,43.5,13.2,Not Available,"29,876",5.2,96.6,33.934335,-117.367319
AMBERWELL HOSPICE,705 COMMERCIAL ST,ATCHISON,KS,66002,100.0,0.0,0.0,0.0,20.0,100,Not Available,0.0,93.1,100.0,Not Available,Not Available,100.0,100.0,20.0,0.0,Not Available,"8,721",Not Available,0.0,39.538742,-95.137635
AMBIENT HOSPICE AND PALLIATIVE CARE,8303 SOUTHWEST FREEWAY SUITE 151,HOUSTON,TX,77074,100.0,1.8,0.0,0.0,3.6,87.1,7.0,Not Available,100.0,100.0,100.0,Not Available,100.0,100.0,50.0,10.5,Not Available,"22,499",7.6,68.8,29.687947,-95.515725
AME HOSPICE INC,811 WILSHIRE BLVD SUITE 1743,LOS ANGELES,CA,90017,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.052913,-118.26434
"AMEDI HOSPICE CARE, INC","14242 VENTURA BLVD, SUITE 208",SHERMAN OAKS,CA,91423,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.148617,-118.433298
AMEDIA HOSPICE LLC,1800 N.E. LOOP 410 SUITE 400,SAN ANTONIO,TX,78217,Not Available,15.8,0.0,0.0,7.9,73.4,9.0,44.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40.8,9.7,Not Available,"21,542",5.8,85.7,29.538074,-98.415198
AMEDICUS HOSPICE INC,1017 WUS HIGHWAY 175,CRANDALL,TX,75114,96.2,5.3,0.0,0.0,0.0,96.1,6.0,Not Available,84.6,88.5,Not Available,Not Available,92.3,96.2,57.9,9.1,Not Available,"27,732",7.7,64.7,32.610575,-96.444256
AMEDISYS  HOSPICE,"3854 AMERICAN WAY, SUITE C",BATON ROUGE,LA,70816,100.0,15.6,3.1,0.1,7.8,42.6,10.0,75.7,100.0,100.0,100.0,100.0,100.0,100.0,31.3,11.8,100.0,"15,704",7.8,94.0,30.431813,-91.021967
AMEDISYS HOSPICE,13612 MIDWAY RD STE 294,DALLAS,TX,75244,100.0,18.0,1.6,0.1,6.6,59.8,9.0,63.7,98.9,99.5,100.0,99.1,100.0,100.0,36.1,14.8,100.0,"14,693",9.5,91.7,32.925367,-96.836334
AMEDISYS HOSPICE,138 CANAL STREET SUITES 304/305,POOLER,GA,31322,99.4,18.1,4.2,0.0,6.9,65.1,9.0,80.0,98.8,100.0,100.0,99.3,100.0,100.0,47.2,11.2,100.0,"14,948",11.1,96.0,32.109885,-81.255465
AMEDISYS HOSPICE,1400 MERCANTILE LANE SUITE 228,LARGO,MD,20774,100.0,0.0,1.5,0.0,1.5,55.8,10.0,69.9,99.3,100.0,100.0,100.0,99.3,100.0,34.8,11.7,Not Available,"16,451",8.0,90.4,38.874532,-76.774182
AMEDISYS HOSPICE,"1585 EAST RIVER ROAD, SUITE 201",TUCSON,AZ,85718,98.7,9.6,1.9,0.0,11.5,60.6,10.0,78.8,98.7,100.0,100.0,100.0,100.0,100.0,44.2,11.6,100.0,"16,478",10.3,91.0,32.333304,-110.916607
AMEDISYS HOSPICE,"1639 MEDICAL CENTER PARKWAY, SUITE 302",MURFREESBORO,TN,37129,100.0,11.1,0.0,0.0,11.1,28.0,10.0,77.8,100.0,100.0,100.0,100.0,100.0,100.0,27.8,16.1,100.0,"9,633",13.9,94.2,35.932526,-86.442648
AMEDISYS HOSPICE,2040 NORTH LOOP WEST SUITE 320,HOUSTON,TX,77018,98.8,11.0,1.8,0.0,2.8,71.1,10.0,64.4,95.8,98.8,99.1,98.4,99.4,99.4,42.2,16.7,100.0,"19,113",11.3,89.0,29.826448,-95.426267
AMEDISYS HOSPICE,"21 MAIN STREET, SUITE 253",HACKENSACK,NJ,07601,99.3,2.8,4.9,0.0,9.8,36.0,10.0,75.7,97.6,99.8,99.6,98.7,99.6,100.0,41.3,14.6,99.5,"17,695",12.4,92.9,40.889398,-74.045698
AMEDISYS HOSPICE,226 S LIVE OAK ST,BELLVILLE,TX,77418,100.0,12.2,4.9,0.1,12.2,28.3,10.0,75.7,99.3,99.3,100.0,100.0,100.0,100.0,34.1,15.3,100.0,"13,576",8.9,95.8,29.987117,-96.252942
AMEDISYS HOSPICE,2317 EXECUTIVE CIRCLE SUITE B,GREENVILLE,NC,27834,100.0,5.6,2.8,0.4,8.5,37.0,10.0,78.0,100.0,100.0,100.0,100.0,100.0,100.0,35.2,15.5,100.0,"11,453",7.3,96.0,35.657296,-77.379187
AMEDISYS HOSPICE,"261 CONNECTICUT DRIVE, SUITE 1",BURLINGTON,NJ,08016,99.3,7.6,0.7,0.2,5.5,67.1,10.0,77.3,98.9,99.8,100.0,99.5,100.0,100.0,39.3,13.5,100.0,"15,332",14.4,93.0,40.069522,-74.824196
AMEDISYS HOSPICE,"2685 S LOOP 336 W, SUITE A-1",CONROE,TX,77304,99.7,17.3,0.7,0.1,5.3,61.0,9.0,79.9,99.3,99.7,100.0,100.0,100.0,100.0,40.0,10.3,100.0,"20,383",7.9,95.9,30.32776,-95.516045
AMEDISYS HOSPICE,"2865 E SKELLY DRIVE, SUITE 100",TULSA,OK,74105,99.4,15.2,2.5,0.0,11.4,49.7,9.0,85.8,98.3,99.4,98.6,100.0,100.0,100.0,35.4,12.3,100.0,"12,236",9.3,97.5,36.097442,-95.961087
AMEDISYS HOSPICE,2952 VINEVILLE AVE,MACON,GA,31204,100.0,12.2,2.7,0.1,10.8,78.1,10.0,76.7,100.0,100.0,100.0,100.0,100.0,100.0,35.1,11.8,100.0,"18,877",8.4,94.1,32.848513,-83.674775
AMEDISYS HOSPICE,2975 CROUSE LANE,BURLINGTON ,NC,27215,99.8,2.8,1.2,0.0,4.8,55.2,10.0,78.3,99.3,99.6,100.0,99.9,100.0,100.0,38.8,12.2,100.0,"15,588",10.4,94.1,36.027099,-79.491799
AMEDISYS HOSPICE,305 QUARTERMASTER CT,JEFFERSONVILLE,IN,47130,100.0,7.0,0.0,0.6,10.9,26.3,10.0,81.7,100.0,100.0,100.0,100.0,100.0,100.0,45.7,14.1,100.0,"12,015",9.0,95.1,38.332696,-85.696419
AMEDISYS HOSPICE,4017 COMMON STREET,LAKE CHARLES,LA,70607,100.0,9.2,1.0,0.2,5.1,71.9,10.0,76.4,98.4,100.0,100.0,96.9,100.0,100.0,42.9,9.7,100.0,"18,948",10.3,96.0,30.038425,-93.190125
AMEDISYS HOSPICE,"4021-B AMBASSADOR CAFFERY PARKWAY, SUITE 101",LAFAYETTE,LA,70503,99.3,13.2,1.3,0.2,5.3,48.8,10.0,66.7,98.0,99.3,100.0,100.0,99.3,99.3,39.5,12.6,100.0,"19,830",9.4,90.2,30.170874,-92.054784
AMEDISYS HOSPICE,425 ASHLEY  RIDGE BLVD SUITE 240,SHREVEPORT,LA,71106,100.0,10.3,2.6,0.0,5.1,57.2,9.0,75.5,100.0,100.0,100.0,100.0,100.0,100.0,28.2,11.8,100.0,"10,692",9.4,92.6,32.378491,-93.730669
AMEDISYS HOSPICE,460-464 W 51 PL,HIALEAH,FL,33012,98.9,16.1,2.5,0.2,10.6,71.1,10.0,77.9,94.3,100.0,100.0,93.5,98.9,100.0,38.5,13.4,96.1,"20,579",9.9,93.1,25.866106,-80.301115
AMEDISYS HOSPICE,512 VICTORIA LN STE 16B,HARLINGEN,TX,78550,100.0,17.9,3.2,0.2,12.6,41.7,9.0,83.5,99.7,99.7,100.0,100.0,100.0,100.0,34.7,12.0,100.0,"17,915",9.0,97.2,26.255523,-97.667502
AMEDISYS HOSPICE,"52171 NATIONAL ROAD EAST, SUITE 1",SAINT CLAIRSVILLE,OH,43950,100.0,1.4,0.0,0.1,4.3,63.5,10.0,76.2,100.0,100.0,100.0,100.0,100.0,100.0,40.0,11.5,100.0,"13,835",13.6,93.1,40.096889,-80.924669
AMEDISYS HOSPICE,53 ROCK DRIVE,TOCCOA,GA,30577,99.6,18.9,1.9,0.0,7.5,49.8,9.0,79.3,99.6,100.0,100.0,100.0,100.0,100.0,34.0,12.9,Not Available,"14,619",12.0,96.1,34.552419,-83.325929
AMEDISYS HOSPICE,6300 RIDGLEA PL,FORT WORTH,TX,76116,100.0,18.2,3.6,0.0,12.7,55.8,9.0,78.4,100.0,100.0,100.0,100.0,100.0,100.0,40.0,12.4,100.0,"17,752",11.3,96.2,32.720723,-97.447033
AMEDISYS HOSPICE,"6601 WINCHESTER, SUITE 230",KANSAS CITY,MO,64133,100.0,17.6,3.9,0.0,7.8,55.4,8.0,86.8,100.0,100.0,100.0,100.0,100.0,100.0,35.3,18.2,Not Available,"12,946",12.0,96.9,39.013884,-94.45772
AMEDISYS HOSPICE,8725 ROSEHILL ROAD SUITE 380,LENEXA,KS,66215,100.0,3.4,0.0,0.0,3.4,56.9,9.0,86.4,100.0,100.0,Not Available,100.0,100.0,100.0,51.7,12.7,Not Available,"19,006",8.4,98.5,38.957701,-94.744269
AMEDISYS HOSPICE,"9130 JOLLYVILLE RD, STE 170",AUSTIN,TX,78759,99.2,12.1,0.0,0.3,3.0,68.9,10.0,83.6,93.1,99.2,100.0,98.7,98.5,100.0,42.4,11.1,91.8,"18,931",9.2,96.2,30.402665,-97.761062
AMEDISYS HOSPICE AN ADVENTA COMPANY,1420 DUTCH VALLEY ROAD SUITE C,KNOXVILLE,TN,37918,99.4,11.5,3.7,0.0,8.6,47.1,10.0,78.0,98.2,99.6,99.7,99.4,100.0,100.0,37.5,11.8,98.0,"13,484",9.1,94.7,36.056174,-83.916861
AMEDISYS HOSPICE CARE,1813 WEST HARVARD AVENUE,ROSEBURG,OR,97471,99.1,0.0,0.0,0.0,4.9,37.5,9.0,79.5,97.1,99.8,100.0,97.7,99.8,100.0,28.5,16.6,98.6,"9,367",10.1,95.8,43.218335,-123.487741
AMEDISYS HOSPICE CARE,201 E WATER STREET,PLYMOUTH,NC,27962,100.0,2.8,0.0,0.0,5.6,39.8,10.0,81.6,100.0,100.0,100.0,100.0,100.0,100.0,50.0,14.7,100.0,"14,555",12.7,94.5,35.790464,-76.744743
AMEDISYS HOSPICE CARE,240 PULLMAN SQUARE SUITE 255,BUTLER,PA,16001,99.3,3.0,0.0,0.0,4.5,70.9,10.0,71.3,99.0,99.7,100.0,99.5,100.0,100.0,42.4,11.2,100.0,"13,221",6.8,90.2,40.910025,-79.945191
AMEDISYS HOSPICE CARE,"3901 CENTRAL PIKE, SUITE 259",HERMITAGE,TN,37076,99.5,10.3,1.7,0.0,5.2,45.2,10.0,74.3,98.5,99.5,99.3,100.0,100.0,100.0,39.7,15.7,100.0,"11,357",15.5,96.0,36.145195,-86.576632
AMEDISYS HOSPICE CARE,5006 MID ATLANTIC DRIVE,MORGANTOWN,WV,26508,100.0,0.7,0.7,0.1,5.5,61.5,10.0,80.7,99.9,99.9,100.0,100.0,99.9,100.0,47.1,12.0,100.0,"19,364",9.8,95.3,39.602633,-79.895396
AMEDISYS HOSPICE CARE,5221 VALLEY PARK DRIVE SUITE 2,ROANOKE,VA,24019,100.0,3.3,5.6,0.1,14.4,34.1,8.0,80.0,98.8,99.7,99.3,99.3,100.0,100.0,38.9,14.6,98.6,"13,352",9.6,94.4,37.346523,-79.95358
AMEDISYS HOSPICE CARE,56 THREE HUNTS DRIVE BUILDING 3,PEMBROKE,NC,28372,99.5,2.6,1.5,0.0,4.1,53.9,10.0,80.9,99.1,99.6,100.0,100.0,100.0,99.8,41.8,13.4,100.0,"15,842",8.7,92.5,34.696872,-79.17762
AMEDISYS HOSPICE CARE,6570 STAGE ROAD SUITE 120,BARTLETT,TN,38134,99.5,6.9,6.9,0.3,10.3,31.8,9.0,79.4,97.3,98.4,99.1,99.1,99.5,100.0,34.5,17.9,100.0,"10,030",12.0,95.2,35.174957,-89.859879
AMEDISYS HOSPICE CARE,"8 COMMERCE DRIVE, SUITE 101",BEDFORD,NH,03110,99.7,1.7,0.9,0.1,5.1,55.2,10.0,84.7,99.7,100.0,100.0,100.0,100.0,100.0,40.2,12.9,100.0,"12,187",9.3,96.4,42.935584,-71.536871
AMEDISYS HOSPICE CARE,814 GREENBRIER CIRCLE STE F,CHESAPEAKE,VA,23320,100.0,6.6,2.4,0.0,6.0,53.8,10.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,44.0,13.9,100.0,"12,648",13.0,96.4,36.751734,-76.217637
AMEDISYS HOSPICE CARE OF CARTERSVILLE,11 CHARLEY HARPER DRIVE SUITE 170,CARTERSVILLE,GA,30120,98.1,9.4,2.4,0.0,7.1,60.0,10.0,80.9,96.3,99.1,100.0,97.9,100.0,100.0,34.1,11.7,100.0,"18,933",9.9,94.4,34.167879,-84.852014
AMEDISYS HOSPICE CARE OF KENNESAW,"4255 WADE GREEN ROAD NW , BLDG 300 SUITE 320",KENNESAW,GA,30144,100.0,10.7,8.3,0.0,3.6,45.9,9.0,79.2,99.7,100.0,100.0,99.5,100.0,100.0,33.3,13.7,100.0,"17,286",10.9,95.5,34.036864,-84.591009
AMEDISYS HOSPICE CARE OF NEWNAN,"1825 HIGHWAY 34 EAST,SUITE 2200",NEWNAN,GA,30265,99.6,15.7,3.1,0.0,7.9,55.8,10.0,71.8,99.3,99.6,100.0,100.0,100.0,100.0,32.3,13.0,100.0,"19,726",7.9,93.9,33.418625,-84.713134
AMEDISYS HOSPICE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 160",HOMEWOOD,AL,35209,99.9,10.6,2.8,0.1,7.4,57.2,10.0,82.0,99.8,99.9,99.9,100.0,100.0,100.0,47.3,11.9,100.0,"14,805",8.4,96.0,33.466348,-86.811516
AMEDISYS HOSPICE OF BLUEFIELD,"545 AIRPORT ROAD, SUITE 201",BLUEFIELD,WV,24701,100.0,2.0,3.9,0.0,5.9,53.3,10.0,74.2,99.5,100.0,100.0,100.0,100.0,100.0,35.3,12.6,98.2,"11,662",10.7,93.8,37.305951,-81.204941
AMEDISYS HOSPICE OF BREVARD,1696 W HIBISCUS BLVD STE B,MELBOURNE,FL,32901,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100.0,100.0,Not Available,Not Available,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28.079399,-80.623617
AMEDISYS HOSPICE OF DALTON,"1510 NORTH THORNTON AVENUE, SUITE 200",DALTON,GA,30720,99.4,16.9,2.6,0.0,9.1,11.1,10.0,86.0,98.7,100.0,100.0,99.5,100.0,100.0,45.5,15.9,98.2,"15,839",8.5,97.0,34.733644,-85.000824
AMEDISYS HOSPICE OF DECATUR,"725 BELTLINE ROAD SW, STE D",DECATUR,AL,35601,100.0,12.2,4.1,0.0,2.0,48.4,9.0,85.4,100.0,100.0,100.0,100.0,100.0,100.0,59.2,11.1,Not Available,"18,761",7.8,96.1,34.608016,-87.011052
AMEDISYS HOSPICE OF FLORENCE,"412 SOUTH COURT STREET, SUITE 302",FLORENCE,AL,35630,100.0,11.2,4.5,0.1,4.5,44.7,10.0,81.5,100.0,100.0,100.0,100.0,100.0,100.0,30.3,11.6,100.0,"15,617",9.3,97.6,34.82298,-87.661652
AMEDISYS HOSPICE OF GREATER CHESAPEAKE,"7106 RIDGE ROAD, SUITE 140",ROSEDALE,MD,21237,99.9,3.6,1.8,0.5,7.2,44.8,10.0,78.0,99.9,100.0,99.8,100.0,100.0,100.0,41.3,15.8,100.0,"10,917",9.3,94.5,39.341939,-76.495443
AMEDISYS HOSPICE OF GREATER PHILADELPHIA,"3331 STREET ROAD, SUITE 410",BENSALEM,PA,19020,98.7,4.1,1.5,0.0,4.6,46.4,10.0,82.2,97.3,99.7,99.5,99.4,99.6,100.0,38.7,14.5,99.2,"15,721",11.6,94.5,40.100591,-74.938934
AMEDISYS HOSPICE OF GREATER PITTSBURGH,3835 NORTHERN PIKE SUITE 3,MONROEVILLE,PA,15146,100.0,4.4,4.4,0.0,11.1,77.6,10.0,70.4,99.6,100.0,100.0,100.0,100.0,99.6,36.7,9.7,100.0,"17,572",9.2,89.8,40.426328,-79.761358
AMEDISYS HOSPICE OF GREEN BAY,2633 DEVELOPMENT DR  SUITE 10,BELLEVUE,WI,54311,100.0,0.0,2.7,0.0,0.0,41.1,8.0,88.7,100.0,100.0,100.0,100.0,100.0,100.0,70.3,23.0,Not Available,"19,648",8.6,99.5,44.480461,-87.892165
